GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD43,HD02_VD43
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",476,137,281,82,99,62,0,11
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",2729,572,961,257,160,107,0,16
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",602,107,277,63,61,38,0,11
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",1734,309,1003,224,95,72,0,16
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2094,305,1355,259,259,120,0,16
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",2026,311,916,180,176,71,0,16
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1446,321,786,142,207,82,13,22
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",589,99,362,88,113,65,1,6
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1577,241,589,159,138,78,11,18
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1919,353,926,172,160,97,0,11
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",2647,400,928,158,111,71,0,16
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",1631,214,858,146,169,93,0,16
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",749,155,444,107,132,62,0,11
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",990,193,644,133,97,48,0,11
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",2600,424,1005,265,162,95,0,16
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",821,206,422,124,103,61,4,8
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1205,246,602,150,149,67,25,38
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",522,82,289,52,79,32,0,11
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",1581,354,846,242,475,184,11,19
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",2749,572,1319,333,184,160,0,16
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",2032,292,878,144,225,88,9,15
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1459,248,793,131,269,113,0,11
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",2168,300,1104,187,156,67,0,16
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",2413,551,904,225,81,82,0,16
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",1370,213,469,127,94,52,7,11
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",2617,516,1563,325,303,122,14,21
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1877,365,864,202,187,74,26,32
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",1011,138,653,113,208,87,12,13
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",2307,352,808,160,186,98,4,16
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1127,248,634,136,98,75,0,11
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1630,238,772,142,242,103,0,11
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",2017,308,1277,191,296,107,0,16
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",2316,333,1042,192,234,83,11,17
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",684,111,367,80,104,43,0,11
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",2415,472,1161,255,216,125,36,54
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",2204,501,970,239,143,97,0,16
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",2354,438,1101,255,275,101,0,16
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",1039,148,524,108,150,55,11,17
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",2188,488,916,192,235,94,20,22
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",1295,241,708,159,106,58,0,11
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",2236,346,971,156,241,90,0,16
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",1162,206,483,107,94,67,0,11
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",1075,217,544,137,161,83,0,11
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",2235,220,1108,153,278,103,0,16
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",2021,278,896,145,91,50,9,14
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",932,144,472,101,107,45,5,8
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",2290,287,1248,164,562,155,21,28
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",95,87,37,33,13,20,0,11
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",1332,202,737,143,137,70,0,11
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",608,115,264,69,55,31,0,11
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",2315,292,984,188,494,137,43,48
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",1866,236,959,142,179,79,0,16
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",1259,179,522,99,114,54,0,11
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",510,149,344,127,38,38,0,11
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",1520,344,986,240,234,95,0,11
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1421,285,712,165,265,108,19,28
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",656,121,442,89,95,46,0,11
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",995,196,550,142,41,33,0,11
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",747,104,364,105,117,79,0,11
1400000US36005013100,36005013100,"Census Tract 131, Bronx County, New York",1686,229,789,151,172,72,0,11
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",3797,455,1761,309,722,199,0,16
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",2479,575,1124,262,187,103,0,16
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",1244,235,660,152,119,65,0,11
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1420,220,679,170,255,96,22,20
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",2163,272,1069,157,299,82,0,16
1400000US36005014300,36005014300,"Census Tract 143, Bronx County, New York",249,101,144,78,0,11,0,11
1400000US36005014400,36005014400,"Census Tract 144, Bronx County, New York",1789,365,1160,242,166,91,0,16
1400000US36005014500,36005014500,"Census Tract 145, Bronx County, New York",1952,300,1038,243,234,110,0,16
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",1735,461,1220,335,215,140,0,16
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",1436,251,921,181,178,91,0,16
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",1430,237,643,126,158,77,10,15
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",1935,275,1000,179,249,114,0,16
1400000US36005015200,36005015200,"Census Tract 152, Bronx County, New York",1349,151,687,101,241,76,0,11
1400000US36005015300,36005015300,"Census Tract 153, Bronx County, New York",1539,207,787,164,196,123,13,22
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",844,125,400,82,75,43,0,11
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",1808,452,866,212,231,121,15,23
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",567,92,282,54,114,50,0,11
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",426,182,267,131,125,90,0,11
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",2148,284,1006,140,456,138,24,39
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",1465,225,803,179,190,104,0,11
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",824,162,443,101,150,68,0,11
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0,11,0,11,0,11,0,11
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",322,68,179,45,52,25,3,6
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",419,97,217,48,58,30,15,23
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",992,174,538,102,237,84,18,21
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",863,130,423,90,90,44,0,11
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",385,85,241,65,55,27,0,11
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0,11,0,11,0,11,0,11
1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",1850,388,865,200,98,86,0,16
1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",2270,329,1387,297,314,136,16,26
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",1485,383,652,220,155,104,0,11
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",1850,388,892,225,262,110,0,16
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",1870,298,1086,196,258,103,0,11
1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",1405,254,682,187,150,96,0,11
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",1293,194,679,131,89,60,0,11
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",2363,278,1205,201,250,107,0,16
1400000US36005018301,36005018301,"Census Tract 183.01, Bronx County, New York",1691,263,1055,192,368,102,23,22
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",1573,326,787,234,98,79,0,11
1400000US36005018400,36005018400,"Census Tract 184, Bronx County, New York",1765,283,882,160,356,120,0,11
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",2336,305,1433,246,287,119,40,63
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",2624,369,1145,269,333,141,14,24
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",1758,256,1002,214,173,105,0,16
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",926,151,413,92,109,49,13,20
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",2917,438,1589,304,307,138,0,16
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",2707,420,1237,261,54,49,0,16
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",3317,474,1789,271,301,120,13,22
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",2080,247,708,146,226,75,12,20
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",1582,266,832,164,132,65,25,29
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",974,147,432,86,90,39,7,10
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",1441,277,589,146,244,91,59,52
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",2700,380,1461,252,307,142,0,16
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",719,145,303,73,71,37,8,12
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",1350,331,645,161,198,91,32,27
1400000US36005020900,36005020900,"Census Tract 209, Bronx County, New York",1932,319,865,202,185,95,0,11
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",4623,632,2201,344,684,254,0,16
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",3247,384,1579,264,563,199,46,54
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",1907,267,901,166,115,52,0,16
1400000US36005021200,36005021200,"Census Tract 212, Bronx County, New York",2399,401,1182,267,509,188,0,16
1400000US36005021301,36005021301,"Census Tract 213.01, Bronx County, New York",462,85,209,52,41,23,7,9
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",2132,328,1138,263,239,131,0,16
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",1532,245,773,164,151,76,8,13
1400000US36005021502,36005021502,"Census Tract 215.02, Bronx County, New York",2225,268,1127,139,187,102,7,11
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",1622,208,851,166,134,86,0,11
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",2893,351,1481,251,411,138,15,24
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",1960,251,966,170,91,57,0,16
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",2893,392,1426,275,395,163,0,16
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",590,125,237,50,58,37,0,11
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",842,206,262,87,56,35,0,11
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",1553,275,839,177,171,83,0,11
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",1600,274,786,192,53,38,0,16
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",1636,268,720,145,241,103,5,9
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",2032,331,1058,236,209,97,8,13
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",1230,192,641,124,195,71,9,14
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",1557,259,777,205,225,90,0,11
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",2151,285,1141,187,463,138,9,14
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",2849,469,1226,296,187,111,0,16
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",2550,395,1503,273,266,126,0,16
1400000US36005022702,36005022702,"Census Tract 227.02, Bronx County, New York",606,96,238,52,55,32,0,11
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",834,156,436,106,145,79,4,9
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",2988,326,1345,235,416,158,53,62
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",2145,354,1128,208,184,88,0,16
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",1361,234,739,176,115,73,0,11
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",1420,219,691,135,146,78,0,11
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",476,136,171,39,28,32,0,11
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",1188,162,491,98,151,54,11,17
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",1835,331,833,188,94,66,0,11
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",1278,209,618,127,68,39,0,11
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",1376,169,618,135,115,61,15,23
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",1790,297,893,172,150,62,0,11
1400000US36005023600,36005023600,"Census Tract 236, Bronx County, New York",998,159,418,76,69,33,10,15
1400000US36005023702,36005023702,"Census Tract 237.02, Bronx County, New York",549,151,217,64,28,23,0,11
1400000US36005023703,36005023703,"Census Tract 237.03, Bronx County, New York",1966,353,939,186,116,58,0,16
1400000US36005023704,36005023704,"Census Tract 237.04, Bronx County, New York",1606,317,1022,247,124,88,8,13
1400000US36005023800,36005023800,"Census Tract 238, Bronx County, New York",1028,140,458,86,154,56,0,11
1400000US36005023900,36005023900,"Census Tract 239, Bronx County, New York",3209,474,1551,267,360,147,0,16
1400000US36005024000,36005024000,"Census Tract 240, Bronx County, New York",1837,263,844,222,168,75,21,25
1400000US36005024100,36005024100,"Census Tract 241, Bronx County, New York",2501,396,1257,277,307,145,9,14
1400000US36005024300,36005024300,"Census Tract 243, Bronx County, New York",1894,304,1043,150,154,60,15,20
1400000US36005024400,36005024400,"Census Tract 244, Bronx County, New York",1129,157,610,109,290,77,46,27
1400000US36005024501,36005024501,"Census Tract 245.01, Bronx County, New York",1836,276,1039,202,172,80,0,16
1400000US36005024502,36005024502,"Census Tract 245.02, Bronx County, New York",1463,344,706,180,124,69,0,11
1400000US36005024600,36005024600,"Census Tract 246, Bronx County, New York",1149,175,514,112,232,63,14,14
1400000US36005024700,36005024700,"Census Tract 247, Bronx County, New York",1016,147,498,92,154,54,6,9
1400000US36005024800,36005024800,"Census Tract 248, Bronx County, New York",1469,193,667,137,299,117,0,11
1400000US36005024900,36005024900,"Census Tract 249, Bronx County, New York",0,11,0,11,0,11,0,11
1400000US36005025000,36005025000,"Census Tract 250, Bronx County, New York",1076,222,478,117,229,88,29,28
1400000US36005025100,36005025100,"Census Tract 251, Bronx County, New York",2778,517,1300,288,405,149,0,16
1400000US36005025200,36005025200,"Census Tract 252, Bronx County, New York",1222,184,573,119,293,87,9,10
1400000US36005025300,36005025300,"Census Tract 253, Bronx County, New York",2434,332,1090,205,207,82,7,12
1400000US36005025400,36005025400,"Census Tract 254, Bronx County, New York",877,213,377,90,147,48,22,22
1400000US36005025500,36005025500,"Census Tract 255, Bronx County, New York",2485,513,938,278,115,81,0,16
1400000US36005025600,36005025600,"Census Tract 256, Bronx County, New York",702,114,341,69,96,51,4,7
1400000US36005025700,36005025700,"Census Tract 257, Bronx County, New York",935,366,370,128,60,31,0,11
1400000US36005026100,36005026100,"Census Tract 261, Bronx County, New York",1005,106,524,91,305,64,19,17
1400000US36005026300,36005026300,"Census Tract 263, Bronx County, New York",2648,405,1320,281,287,146,0,16
1400000US36005026400,36005026400,"Census Tract 264, Bronx County, New York",2988,469,1478,329,522,280,32,53
1400000US36005026500,36005026500,"Census Tract 265, Bronx County, New York",3173,509,1682,285,312,143,35,54
1400000US36005026601,36005026601,"Census Tract 266.01, Bronx County, New York",1435,210,726,143,277,81,7,13
1400000US36005026602,36005026602,"Census Tract 266.02, Bronx County, New York",2299,331,1284,201,353,132,0,16
1400000US36005026701,36005026701,"Census Tract 267.01, Bronx County, New York",1799,331,987,248,221,75,12,21
1400000US36005026702,36005026702,"Census Tract 267.02, Bronx County, New York",3201,476,1762,314,496,166,0,16
1400000US36005026900,36005026900,"Census Tract 269, Bronx County, New York",1760,288,947,151,247,109,0,11
1400000US36005027300,36005027300,"Census Tract 273, Bronx County, New York",3537,392,1902,240,517,174,24,36
1400000US36005027401,36005027401,"Census Tract 274.01, Bronx County, New York",2261,304,1159,189,507,132,5,8
1400000US36005027402,36005027402,"Census Tract 274.02, Bronx County, New York",1801,297,832,182,393,128,15,26
1400000US36005027600,36005027600,"Census Tract 276, Bronx County, New York",17,13,13,10,3,5,0,11
1400000US36005027700,36005027700,"Census Tract 277, Bronx County, New York",2395,458,1040,206,302,100,4,15
1400000US36005027900,36005027900,"Census Tract 279, Bronx County, New York",3592,487,1615,182,482,151,17,27
1400000US36005028100,36005028100,"Census Tract 281, Bronx County, New York",1730,283,999,172,380,151,25,23
1400000US36005028300,36005028300,"Census Tract 283, Bronx County, New York",1251,325,632,152,131,70,12,18
1400000US36005028400,36005028400,"Census Tract 284, Bronx County, New York",118,96,35,22,4,5,0,11
1400000US36005028500,36005028500,"Census Tract 285, Bronx County, New York",1637,225,731,133,411,119,55,63
1400000US36005028600,36005028600,"Census Tract 286, Bronx County, New York",552,70,242,68,155,51,0,11
1400000US36005028700,36005028700,"Census Tract 287, Bronx County, New York",1298,210,665,142,337,98,49,46
1400000US36005028800,36005028800,"Census Tract 288, Bronx County, New York",1702,254,785,108,506,98,40,37
1400000US36005028900,36005028900,"Census Tract 289, Bronx County, New York",2128,204,1019,163,427,146,31,54
1400000US36005029301,36005029301,"Census Tract 293.01, Bronx County, New York",874,114,441,75,349,68,54,33
1400000US36005029302,36005029302,"Census Tract 293.02, Bronx County, New York",2676,352,1454,263,947,210,46,37
1400000US36005029500,36005029500,"Census Tract 295, Bronx County, New York",2667,344,1315,236,701,166,47,46
1400000US36005029600,36005029600,"Census Tract 296, Bronx County, New York",809,161,402,90,288,81,67,36
1400000US36005029700,36005029700,"Census Tract 297, Bronx County, New York",1775,218,867,130,601,105,0,11
1400000US36005030000,36005030000,"Census Tract 300, Bronx County, New York",2973,327,1413,208,687,188,0,16
1400000US36005030100,36005030100,"Census Tract 301, Bronx County, New York",455,110,224,49,148,37,2,4
1400000US36005030200,36005030200,"Census Tract 302, Bronx County, New York",4397,611,2657,353,1063,308,20,27
1400000US36005030701,36005030701,"Census Tract 307.01, Bronx County, New York",2518,330,1464,217,1022,206,57,42
1400000US36005030900,36005030900,"Census Tract 309, Bronx County, New York",1301,198,642,134,495,127,86,77
1400000US36005031000,36005031000,"Census Tract 310, Bronx County, New York",1833,285,886,193,476,136,28,41
1400000US36005031200,36005031200,"Census Tract 312, Bronx County, New York",952,119,374,89,204,63,4,7
1400000US36005031400,36005031400,"Census Tract 314, Bronx County, New York",1124,144,529,96,218,53,24,20
1400000US36005031600,36005031600,"Census Tract 316, Bronx County, New York",921,112,428,81,230,65,5,7
1400000US36005031800,36005031800,"Census Tract 318, Bronx County, New York",847,218,467,169,107,56,7,12
1400000US36005031900,36005031900,"Census Tract 319, Bronx County, New York",216,53,164,66,45,27,0,11
1400000US36005032300,36005032300,"Census Tract 323, Bronx County, New York",2394,310,1157,242,937,224,63,60
1400000US36005032400,36005032400,"Census Tract 324, Bronx County, New York",1285,289,674,189,204,107,0,11
1400000US36005032600,36005032600,"Census Tract 326, Bronx County, New York",1369,252,655,154,417,143,70,72
1400000US36005032800,36005032800,"Census Tract 328, Bronx County, New York",1567,244,807,176,158,80,0,11
1400000US36005033000,36005033000,"Census Tract 330, Bronx County, New York",2686,489,985,184,244,105,0,16
1400000US36005033201,36005033201,"Census Tract 332.01, Bronx County, New York",1898,277,876,148,408,113,45,45
1400000US36005033202,36005033202,"Census Tract 332.02, Bronx County, New York",1463,344,610,112,343,117,0,11
1400000US36005033400,36005033400,"Census Tract 334, Bronx County, New York",656,101,310,63,134,52,0,11
1400000US36005033500,36005033500,"Census Tract 335, Bronx County, New York",886,92,528,78,274,63,10,12
1400000US36005033600,36005033600,"Census Tract 336, Bronx County, New York",2751,388,1767,263,776,234,0,16
1400000US36005033700,36005033700,"Census Tract 337, Bronx County, New York",1007,133,449,80,238,57,14,12
1400000US36005033800,36005033800,"Census Tract 338, Bronx County, New York",1646,220,726,137,300,95,0,11
1400000US36005034000,36005034000,"Census Tract 340, Bronx County, New York",1950,267,928,186,218,75,13,22
1400000US36005034200,36005034200,"Census Tract 342, Bronx County, New York",876,164,454,98,142,61,0,11
1400000US36005034300,36005034300,"Census Tract 343, Bronx County, New York",714,140,351,93,178,58,11,12
1400000US36005034400,36005034400,"Census Tract 344, Bronx County, New York",1086,173,532,128,136,64,0,11
1400000US36005034500,36005034500,"Census Tract 345, Bronx County, New York",1567,316,897,158,439,92,32,28
1400000US36005034800,36005034800,"Census Tract 348, Bronx County, New York",3014,525,1807,351,565,202,46,73
1400000US36005035000,36005035000,"Census Tract 350, Bronx County, New York",788,155,485,108,126,43,7,11
1400000US36005035100,36005035100,"Census Tract 351, Bronx County, New York",1521,267,687,145,384,88,34,36
1400000US36005035600,36005035600,"Census Tract 356, Bronx County, New York",1019,203,661,143,306,115,13,20
1400000US36005035800,36005035800,"Census Tract 358, Bronx County, New York",3568,395,2089,275,853,177,15,25
1400000US36005035900,36005035900,"Census Tract 359, Bronx County, New York",699,121,300,62,64,39,0,11
1400000US36005036000,36005036000,"Census Tract 360, Bronx County, New York",1367,178,627,109,285,69,18,21
1400000US36005036100,36005036100,"Census Tract 361, Bronx County, New York",1697,370,968,232,203,140,0,16
1400000US36005036300,36005036300,"Census Tract 363, Bronx County, New York",2521,383,1380,241,159,89,0,16
1400000US36005036400,36005036400,"Census Tract 364, Bronx County, New York",1204,169,708,135,251,77,0,11
1400000US36005036501,36005036501,"Census Tract 365.01, Bronx County, New York",1158,220,653,166,178,86,43,69
1400000US36005036502,36005036502,"Census Tract 365.02, Bronx County, New York",639,139,379,80,79,41,3,5
1400000US36005036700,36005036700,"Census Tract 367, Bronx County, New York",908,140,475,88,61,38,0,11
1400000US36005036800,36005036800,"Census Tract 368, Bronx County, New York",875,175,484,103,91,50,0,11
1400000US36005036901,36005036901,"Census Tract 369.01, Bronx County, New York",627,160,385,118,60,50,0,11
1400000US36005036902,36005036902,"Census Tract 369.02, Bronx County, New York",725,134,418,114,104,56,10,16
1400000US36005037000,36005037000,"Census Tract 370, Bronx County, New York",1118,155,576,88,175,56,8,12
1400000US36005037100,36005037100,"Census Tract 371, Bronx County, New York",1404,214,765,144,136,62,0,11
1400000US36005037200,36005037200,"Census Tract 372, Bronx County, New York",930,119,498,92,158,50,14,21
1400000US36005037300,36005037300,"Census Tract 373, Bronx County, New York",1893,252,1111,171,302,101,10,16
1400000US36005037400,36005037400,"Census Tract 374, Bronx County, New York",1176,173,630,122,100,59,0,11
1400000US36005037504,36005037504,"Census Tract 375.04, Bronx County, New York",965,169,525,120,131,64,0,11
1400000US36005037600,36005037600,"Census Tract 376, Bronx County, New York",957,133,596,103,210,56,0,11
1400000US36005037800,36005037800,"Census Tract 378, Bronx County, New York",1278,198,740,148,142,80,0,11
1400000US36005037900,36005037900,"Census Tract 379, Bronx County, New York",1726,266,959,212,175,89,0,16
1400000US36005038000,36005038000,"Census Tract 380, Bronx County, New York",1762,254,840,181,437,165,48,46
1400000US36005038100,36005038100,"Census Tract 381, Bronx County, New York",2647,357,1182,215,156,100,13,22
1400000US36005038200,36005038200,"Census Tract 382, Bronx County, New York",1105,174,656,137,209,74,0,11
1400000US36005038301,36005038301,"Census Tract 383.01, Bronx County, New York",1746,270,918,208,231,114,0,11
1400000US36005038302,36005038302,"Census Tract 383.02, Bronx County, New York",1789,295,1019,215,192,136,88,120
